registro_id,data,turno,lab_id,codigo_disciplina,disciplina,curso,docente,finalidade,participantes_previstos,presenca_real,reserva_confirmada
U0072,2026-02-06,Tarde,LAB08,DCA0702,Projetos Integradores,EC,Prof. Diego Alves,Aula prática,14,16,Sim
U0073,2026-02-06,Noite,LAB08,DCA0412,Banco de Dados,SI,Prof. Diego Alves,Aula regular,27,26,Sim
U0074,2026-02-09,Manhã,LAB01,DCA0101,Algoritmos,EC,Prof. Diego Alves,Aula regular,27,28,Não
U0075,2026-02-09,Manhã,LAB02,DCA0412,Banco de Dados,SI,Prof. Ana Lima,Projeto,33,29,Sim
U0076,2026-02-09,Noite,LAB02,DCA0310,Redes de Computadores,EC,Prof. Bruno Costa,Projeto,27,28,Sim
U0077,2026-02-09,Manhã,LAB03,DCA0412,Banco de Dados,SI,Prof. Carla Nunes,Aula prática,21,23,Não
U0078,2026-02-09,Tarde,LAB03,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Aula prática,14,15,Sim
U0079,2026-02-09,Tarde,LAB04,DCA0101,Algoritmos,EC,Prof. Bruno Costa,Aula regular,21,19,Não
U0080,2026-02-09,Manhã,LAB05,DCA0203,Estruturas de Dados,EC,Prof. Carla Nunes,Aula regular,17,17,Sim
U0081,2026-02-09,Noite,LAB05,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Avaliação prática,11,7,Não
U0082,2026-02-09,Manhã,LAB06,DCA0601,Sistemas Embarcados,EC,Prof. Elisa Moura,Aula regular,13,10,Sim
U0083,2026-02-09,Noite,LAB06,DCA0601,Sistemas Embarcados,EC,Prof. Elisa Moura,Aula prática,19,16,Sim
U0084,2026-02-09,Manhã,LAB07,DCA0601,Sistemas Embarcados,EC,Prof. Elisa Moura,Monitoria,14,11,Sim
U0085,2026-02-09,Manhã,LAB08,DCA0310,Redes de Computadores,EC,Prof. Diego Alves,Aula regular,28,26,Sim
U0086,2026-02-10,Tarde,LAB01,DCA0702,Projetos Integradores,EC,Prof. Carla Nunes,Aula regular,33,33,Sim
U0087,2026-02-10,Noite,LAB01,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Avaliação prática,22,25,Não
U0088,2026-02-10,Manhã,LAB02,DCA0412,Banco de Dados,SI,Prof. Diego Alves,Aula regular,25,23,Sim
U0089,2026-02-10,Noite,LAB02,DCA0520,Ciência de Dados,EC,Prof. Elisa Moura,Aula regular,23,19,Sim
U0090,2026-02-10,Manhã,LAB03,DCA0412,Banco de Dados,SI,Prof. Diego Alves,Projeto,28,27,Não
U0091,2026-02-10,Noite,LAB03,DCA0203,Estruturas de Dados,EC,Prof. Carla Nunes,Avaliação prática,25,24,Sim
U0092,2026-02-10,Manhã,LAB04,DCA0520,Ciência de Dados,EC,Prof. Elisa Moura,Monitoria,17,19,Sim
U0093,2026-02-10,Noite,LAB04,DCA0310,Redes de Computadores,EC,Prof. Bruno Costa,Monitoria,15,12,Sim
U0094,2026-02-10,Manhã,LAB06,DCA0601,Sistemas Embarcados,EC,Prof. Elisa Moura,Avaliação prática,17,17,Sim
U0095,2026-02-10,Manhã,LAB07,DCA0310,Redes de Computadores,EC,Prof. Ana Lima,Avaliação prática,11,11,Sim
U0096,2026-02-10,Tarde,LAB07,DCA0101,Algoritmos,EC,Prof. Bruno Costa,Projeto,17,17,Sim
U0097,2026-02-10,Manhã,LAB08,DCA0412,Banco de Dados,SI,Prof. Carla Nunes,Aula regular,29,32,Sim
U0098,2026-02-10,Tarde,LAB08,DCA0702,Projetos Integradores,EC,Prof. Ana Lima,Projeto,29,26,Não
U0099,2026-02-10,Noite,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Avaliação prática,15,13,Sim
U0100,2026-02-11,Manhã,LAB01,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Avaliação prática,18,20,Sim
U0101,2026-02-11,Noite,LAB01,DCA0412,Banco de Dados,SI,Prof. Carla Nunes,Avaliação prática,24,26,Sim
U0102,2026-02-11,Manhã,LAB03,DCA0203,Estruturas de Dados,EC,Prof. Bruno Costa,Aula regular,21,18,Sim
U0103,2026-02-11,Tarde,LAB03,DCA0203,Estruturas de Dados,EC,Prof. Diego Alves,Avaliação prática,13,15,Não
U0104,2026-02-11,Noite,LAB03,DCA0203,Estruturas de Dados,EC,Prof. Diego Alves,Aula prática,22,22,Sim
U0105,2026-02-11,Noite,LAB05,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Aula regular,13,11,Sim
U0106,2026-02-11,Manhã,LAB06,DCA0702,Projetos Integradores,EC,Prof. Diego Alves,Aula prática,14,14,Não
U0107,2026-02-11,Tarde,LAB07,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Aula prática,16,13,Não
U0108,2026-02-11,Tarde,LAB08,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Aula prática,14,14,Sim
U0109,2026-02-11,Noite,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Avaliação prática,28,28,Não
U0110,2026-02-12,Tarde,LAB01,DCA0101,Algoritmos,EC,Prof. Diego Alves,Monitoria,30,31,Sim
U0111,2026-02-12,Tarde,LAB02,DCA0601,Sistemas Embarcados,EC,Prof. Diego Alves,Avaliação prática,30,30,Sim
U0112,2026-02-12,Noite,LAB02,DCA0310,Redes de Computadores,EC,Prof. Ana Lima,Projeto,23,24,Sim
U0113,2026-02-12,Tarde,LAB03,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Monitoria,14,13,Não
U0114,2026-02-12,Tarde,LAB04,DCA0520,Ciência de Dados,EC,Prof. Diego Alves,Projeto,14,14,Sim
U0115,2026-02-12,Noite,LAB04,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Monitoria,21,20,Sim
U0116,2026-02-12,Manhã,LAB05,DCA0101,Algoritmos,EC,Prof. Diego Alves,Aula prática,13,10,Sim
U0117,2026-02-12,Tarde,LAB05,DCA0601,Sistemas Embarcados,EC,Prof. Diego Alves,Projeto,14,14,Não
U0118,2026-02-12,Noite,LAB05,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Avaliação prática,12,14,Sim
U0119,2026-02-12,Tarde,LAB06,DCA0702,Projetos Integradores,EC,Prof. Elisa Moura,Monitoria,16,17,Sim
U0120,2026-02-12,Noite,LAB06,DCA0310,Redes de Computadores,EC,Prof. Bruno Costa,Projeto,19,22,Não
U0121,2026-02-12,Manhã,LAB07,DCA0520,Ciência de Dados,EC,Prof. Diego Alves,Monitoria,17,19,Sim
U0122,2026-02-12,Noite,LAB07,DCA0412,Banco de Dados,SI,Prof. Ana Lima,Monitoria,12,14,Não
U0123,2026-02-12,Noite,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Ana Lima,Aula regular,18,21,Sim
U0124,2026-02-13,Noite,LAB01,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Projeto,29,25,Sim
U0125,2026-02-13,Manhã,LAB02,DCA0702,Projetos Integradores,EC,Prof. Elisa Moura,Projeto,23,24,Sim
U0126,2026-02-13,Tarde,LAB03,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Aula prática,28,24,Sim
U0127,2026-02-13,Manhã,LAB05,DCA0101,Algoritmos,EC,Prof. Diego Alves,Aula regular,22,19,Sim
U0128,2026-02-13,Noite,LAB05,DCA0702,Projetos Integradores,EC,Prof. Carla Nunes,Monitoria,10,10,Não
U0129,2026-02-13,Manhã,LAB06,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Aula regular,16,14,Sim
U0130,2026-02-13,Noite,LAB06,DCA0601,Sistemas Embarcados,EC,Prof. Elisa Moura,Aula regular,13,16,Sim
U0131,2026-02-13,Manhã,LAB07,DCA0310,Redes de Computadores,EC,Prof. Ana Lima,Projeto,16,16,Sim
U0132,2026-02-13,Noite,LAB07,DCA0412,Banco de Dados,SI,Prof. Diego Alves,Monitoria,14,14,Não
U0133,2026-02-13,Tarde,LAB08,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Projeto,29,26,Sim
U0134,2026-02-13,Noite,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Diego Alves,Monitoria,23,19,Sim
U0135,2026-02-16,Manhã,LAB01,DCA0601,Sistemas Embarcados,EC,Prof. Carla Nunes,Aula regular,16,19,Sim
U0136,2026-02-16,Tarde,LAB01,DCA0203,Estruturas de Dados,EC,Prof. Ana Lima,Aula prática,23,21,Sim
U0137,2026-02-16,Manhã,LAB02,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Monitoria,19,16,Não
U0138,2026-02-16,Tarde,LAB02,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Avaliação prática,32,33,Sim
U0139,2026-02-16,Manhã,LAB03,DCA0702,Projetos Integradores,EC,Prof. Carla Nunes,Aula prática,28,28,Não
U0140,2026-02-16,Noite,LAB03,DCA0203,Estruturas de Dados,EC,Prof. Ana Lima,Projeto,25,26,Sim
U0141,2026-02-16,Manhã,LAB04,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Avaliação prática,19,20,Não
U0142,2026-02-16,Manhã,LAB05,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Avaliação prática,17,13,Sim
U0143,2026-02-16,Noite,LAB05,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Projeto,20,23,Sim
U0144,2026-02-16,Manhã,LAB06,DCA0101,Algoritmos,EC,Prof. Ana Lima,Aula prática,14,17,Sim
U0145,2026-02-16,Noite,LAB06,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Aula regular,15,17,Não
U0146,2026-02-16,Tarde,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Diego Alves,Projeto,25,24,Sim
U0147,2026-02-17,Manhã,LAB01,DCA0601,Sistemas Embarcados,EC,Prof. Ana Lima,Projeto,26,27,Sim
U0148,2026-02-17,Tarde,LAB01,DCA0101,Algoritmos,EC,Prof. Bruno Costa,Avaliação prática,29,26,Sim
U0149,2026-02-17,Noite,LAB01,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Aula regular,22,20,Sim
U0150,2026-02-17,Tarde,LAB02,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Aula regular,21,20,Sim
U0151,2026-02-17,Noite,LAB02,DCA0203,Estruturas de Dados,EC,Prof. Bruno Costa,Aula prática,19,19,Sim
U0152,2026-02-17,Manhã,LAB03,DCA0310,Redes de Computadores,EC,Prof. Ana Lima,Aula regular,20,21,Sim
U0153,2026-02-17,Tarde,LAB03,DCA0601,Sistemas Embarcados,EC,Prof. Ana Lima,Projeto,26,23,Não
U0154,2026-02-17,Manhã,LAB04,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Aula prática,19,18,Sim
U0155,2026-02-17,Tarde,LAB04,DCA0101,Algoritmos,EC,Prof. Diego Alves,Projeto,12,15,Sim
U0156,2026-02-17,Noite,LAB04,DCA0412,Banco de Dados,SI,Prof. Carla Nunes,Avaliação prática,13,10,Sim
U0157,2026-02-17,Manhã,LAB05,DCA0310,Redes de Computadores,EC,Prof. Diego Alves,Avaliação prática,19,20,Sim
U0158,2026-02-17,Tarde,LAB05,DCA0520,Ciência de Dados,EC,Prof. Ana Lima,Avaliação prática,16,13,Sim
U0159,2026-02-17,Noite,LAB05,DCA0203,Estruturas de Dados,EC,Prof. Diego Alves,Projeto,16,17,Não
U0160,2026-02-17,Tarde,LAB06,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Aula regular,20,20,Não
U0161,2026-02-17,Noite,LAB06,DCA0702,Projetos Integradores,EC,Prof. Diego Alves,Aula prática,11,8,Sim
U0162,2026-02-17,Tarde,LAB07,DCA0520,Ciência de Dados,EC,Prof. Ana Lima,Projeto,17,18,Sim
U0163,2026-02-17,Tarde,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Elisa Moura,Monitoria,15,15,Sim
U0164,2026-02-17,Noite,LAB08,DCA0520,Ciência de Dados,EC,Prof. Diego Alves,Aula regular,20,18,Sim
U0165,2026-02-18,Manhã,LAB01,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Avaliação prática,26,23,Sim
U0166,2026-02-18,Tarde,LAB03,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Monitoria,21,17,Sim
U0167,2026-02-18,Manhã,LAB04,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Projeto,25,23,Sim
U0168,2026-02-18,Tarde,LAB04,DCA0601,Sistemas Embarcados,EC,Prof. Elisa Moura,Aula regular,12,9,Não
U0169,2026-02-18,Noite,LAB04,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Monitoria,14,15,Sim
U0170,2026-02-18,Tarde,LAB05,DCA0702,Projetos Integradores,EC,Prof. Ana Lima,Monitoria,19,15,Não
U0171,2026-02-18,Manhã,LAB06,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Avaliação prática,16,16,Sim
U0172,2026-02-18,Tarde,LAB06,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Monitoria,14,17,Sim
U0173,2026-02-18,Noite,LAB06,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Monitoria,10,6,Sim
U0174,2026-02-18,Noite,LAB07,DCA0101,Algoritmos,EC,Prof. Diego Alves,Aula regular,9,12,Sim
U0175,2026-02-18,Manhã,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Ana Lima,Projeto,21,22,Sim
U0176,2026-02-18,Tarde,LAB08,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Projeto,16,17,Não
U0177,2026-02-19,Manhã,LAB01,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Aula regular,27,23,Não
U0178,2026-02-19,Manhã,LAB02,DCA0702,Projetos Integradores,EC,Prof. Diego Alves,Avaliação prática,18,17,Não
U0179,2026-02-19,Tarde,LAB02,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Monitoria,24,25,Sim
U0180,2026-02-19,Noite,LAB02,DCA0601,Sistemas Embarcados,EC,Prof. Carla Nunes,Monitoria,18,17,Sim
U0181,2026-02-19,Manhã,LAB03,DCA0203,Estruturas de Dados,EC,Prof. Bruno Costa,Avaliação prática,21,20,Sim
U0182,2026-02-19,Manhã,LAB04,DCA0702,Projetos Integradores,EC,Prof. Diego Alves,Avaliação prática,22,25,Não
U0183,2026-02-19,Noite,LAB05,DCA0601,Sistemas Embarcados,EC,Prof. Diego Alves,Aula prática,15,13,Não
U0184,2026-02-19,Manhã,LAB06,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Aula prática,22,22,Sim
U0185,2026-02-19,Tarde,LAB06,DCA0310,Redes de Computadores,EC,Prof. Ana Lima,Aula prática,17,20,Sim
U0186,2026-02-19,Manhã,LAB07,DCA0702,Projetos Integradores,EC,Prof. Diego Alves,Avaliação prática,10,12,Sim
U0187,2026-02-19,Tarde,LAB07,DCA0702,Projetos Integradores,EC,Prof. Carla Nunes,Avaliação prática,18,17,Não
U0188,2026-02-19,Noite,LAB07,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Aula prática,16,13,Sim
U0189,2026-02-19,Manhã,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Elisa Moura,Avaliação prática,28,31,Sim
U0190,2026-02-19,Tarde,LAB08,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Avaliação prática,26,28,Sim
U0191,2026-02-20,Tarde,LAB01,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Monitoria,32,34,Sim
U0192,2026-02-20,Noite,LAB01,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Projeto,19,20,Sim
U0193,2026-02-20,Noite,LAB02,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Aula prática,25,23,Não
U0194,2026-02-20,Manhã,LAB03,DCA0101,Algoritmos,EC,Prof. Bruno Costa,Aula regular,24,24,Sim
U0195,2026-02-20,Noite,LAB03,DCA0203,Estruturas de Dados,EC,Prof. Ana Lima,Monitoria,17,15,Sim
U0196,2026-02-20,Manhã,LAB04,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Avaliação prática,25,21,Sim
U0197,2026-02-20,Noite,LAB04,DCA0203,Estruturas de Dados,EC,Prof. Diego Alves,Aula prática,25,23,Não
U0198,2026-02-20,Manhã,LAB05,DCA0601,Sistemas Embarcados,EC,Prof. Elisa Moura,Monitoria,13,16,Não
U0199,2026-02-20,Tarde,LAB05,DCA0203,Estruturas de Dados,EC,Prof. Bruno Costa,Monitoria,14,17,Não
U0200,2026-02-20,Noite,LAB05,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Avaliação prática,22,24,Não
U0201,2026-02-20,Manhã,LAB07,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Avaliação prática,9,12,Sim
U0202,2026-02-20,Noite,LAB07,DCA0101,Algoritmos,EC,Prof. Bruno Costa,Monitoria,13,10,Não
U0203,2026-02-20,Tarde,LAB08,DCA0412,Banco de Dados,SI,Prof. Diego Alves,Monitoria,16,15,Sim
U0204,2026-02-20,Noite,LAB08,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Projeto,30,31,Sim
U0205,2026-02-23,Manhã,LAB01,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Aula regular,25,22,Sim
U0206,2026-02-23,Tarde,LAB01,DCA0702,Projetos Integradores,EC,Prof. Diego Alves,Projeto,30,28,Sim
U0207,2026-02-23,Manhã,LAB02,DCA0203,Estruturas de Dados,EC,Prof. Ana Lima,Monitoria,19,21,Sim
U0208,2026-02-23,Tarde,LAB02,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Projeto,22,24,Sim
U0209,2026-02-23,Noite,LAB02,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Avaliação prática,32,28,Sim
U0210,2026-02-23,Tarde,LAB03,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Projeto,24,23,Sim
U0211,2026-02-23,Manhã,LAB04,DCA0310,Redes de Computadores,EC,Prof. Diego Alves,Projeto,13,9,Sim
U0212,2026-02-23,Manhã,LAB05,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Aula regular,15,12,Sim
U0213,2026-02-23,Manhã,LAB06,DCA0101,Algoritmos,EC,Prof. Bruno Costa,Projeto,15,16,Não
U0214,2026-02-23,Manhã,LAB07,DCA0702,Projetos Integradores,EC,Prof. Carla Nunes,Aula regular,16,12,Sim
U0215,2026-02-23,Manhã,LAB08,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Projeto,30,32,Sim
